sentence,sentiment,positive,negative,neutral
"Full year 2025 results | 35Economic interest expense (net)1 €m 2024 2025 % YoY Interest from financial assets/liabilities -987 -1,242 +26 Interest cost from provisions for pensions and similar provisions -121 -121 - Accretion of provisions for retirement obligations and similar provisions -54 -47 -13 Construction period interest 2 15 22 +47 Others 6 43 +617 Net interest result -1,141 -1,344 +18 (1) Adjusted for non-operating effects.",neutral,0.029486908,0.062872574,0.9076405
"(2) Borrowing costs that are directly attributable to the acquisition, construction or production of a qualified asset.",neutral,0.03312548,0.0514395,0.915435
Borrowing costs are interest costs incurred by an entity in connection with the borrowing of funds (interest rate: 3.13%).,neutral,0.017926807,0.16799146,0.8140818
"Photo shown of overhead lines (part of Bayernwerk Netz GmbH, Germany).",neutral,0.04042445,0.015295369,0.94428015
"Full year 2025 results | 36Reconciliation of EBITDA to IFRS Net Income €m 2024 2025 % YoY EBITDA1 9,049 9,849 +9 Depreciation/Amortization/Impairments1 -3,287 -3,622 -10 EBIT1 5,762 6,227 +8 Interest result -1,001 -1,056 -5 Net book gains -15 -359 -2,293 Restructuring -20 -18 +10 Effects from derivative financial instruments 4,366 -890 -120 Impairments (net) -749 -151 +80 Other non-operating earnings -1,012 -747 +26 Income/Loss from continuing operations before income taxes 7,331 3,006 -59 Income taxes -1,769 -726 +59 Income/loss from continuing operations 5,562 2,280 -59 Income/loss from discontinued operations, net 0 0 - Net income/loss 5,562 2,280 -59 Non-controlling interests -1,031 -546 +47 Net income/loss attributable to shareholders of E.ON SE 4,531 1,734 -62 37 (1) Adjusted for non-operating effects.",neutral,0.021043312,0.39658356,0.5823731
Full year 2025 results | 37Sound funding strategy enabling sustainable green growth path Green financing >50% p.a.,positive,0.5580325,0.0100917285,0.43187568
• Majority of funding via green bonds or aligned with EU T axonomy • €33.2bn of total green financing capacity as of FY25 1 Tenors 3-30 years • Optimize maturity profile • Redemptions on any single day capped at €1bn Volumes €3.5 -5bn p.a.,neutral,0.20574182,0.014613138,0.779645
• Bond refinancing • Capex – mainly networks • Cash utilization of asset retirement obligations Currencies € funding preferred • Predominantly euro- based asset base • Other currencies possible (will be swapped) Investor diversification Growing variety • Bond issuances in various currencies (e.g.,neutral,0.26026472,0.01112123,0.72861403
"AUD, CHF, JPY) • Supplemented by promissory notes (“Schuldschein- darlehen”), private placements and other instruments (1) Green financing capacity based on E.ON’s new Green Financing Framework published in November 2025.",neutral,0.20082408,0.0070830253,0.7920929
"Full year 2025 results | 38Capital Market Debt maturities Capital Market Debt maturities as of end FY 20251 Nominal Value (€bn) Coupon (%) Q1 Q2 Q3 Q4 Q1 Q2 Q3 Q4 Q1 Q2 Q3 Q4 Q1 Q2 Q3 Q4Q1 0.5 0.5 0.8 1.0 0.9 1.3 0.6 0.6 0.8 0.8 1.0 0.1 1.5 0.8 0.6 Q2 Q3 Q4 19.8 0.1% 1.6% 0.3% 0.4% 1.3% 2.4% 2.9% 0.1% 1.7% 5.4% 1.1%3.8% 1.6% 1.5% 4.0% 2026 2027 2029 20302028 >2030 Full year 2025 results | 39 (1) Public and private placements issued by E.ON SE and E.ON International Finance B.V. (fully guaranteed by E.ON SE).April 23, 2026 Annual General Meeting May 13, 2026 Quarterly Statement January – March 2026 August 12, 2026 Half Y ear Financial Report January – June 2026 November 11, 2026 Quarterly Statement January – September 2026 Financial calendar and important links • Presentations • Facts & Figures 2026 • Annual Reports • Interim Reports • Annual General Meeting • Corporate Governance • Green Financing Framework • Sustainability Report Full year 2025 results | 40 Financial calendar Important links T o be directed to our products please follow the links:Iris Eveleigh Head of Investor Relations iris.eveleigh@eon.com +49 170 7688749 E.ON Investor Relations team Omar Barekzai Manager Investor Relations omar.barekzai@eon.com +49 152 52145045 Taski Maar Manager Investor Relations taski.maar@eon.com +49 172 8902813 Jonas Malecki Manager Investor Relations jonas.malecki@eon.com +49 174 3218677 Piipa Poutiainen Manager Investor Relations piipa.poutiainen@eon.com +49 162 1093888 Daniel Schüür Manager Investor Relations daniel.schueuer@eon.com +49 160 6771266 Björn Siggemann Manager Investor Relations bjoern.siggemann@eon.com +49 175 1996123 Andreas Thielen Manager Investor Relations andreas.thielen@eon.com +49 201 1842815 Full year 2025 results | 41Disclaimer This presentation contains information relating to E.ON Group (‘E.ON’)that must not be relied upon for any purpose and may not be redistributed, reproduced, published, or passed on to any other person or used in whole or in part for any other purpose.",neutral,0.022125803,0.031160872,0.9467133
"By accessing this document, you agree to abide by the limitations set out in this document as well as any limitations set out on the webpage of E.ON SE on which this presentation has been made available.",neutral,0.04192716,0.017498976,0.9405739
This document is being presented solely for informational purposes.,neutral,0.022019278,0.025468137,0.9525126
"It should not be treated as giving investment advice, nor is it intended to provide the basis for any evaluation or any securities and should not be considered as a recommendation that any person should purchase, hold or dispose of any shares or other securities.",neutral,0.020715252,0.031749718,0.94753504
The information contained in this presentation may comprise financial and similar information which is neither audited nor reviewed and should be considered preliminary and subject to change.,neutral,0.019011319,0.03665688,0.9443318
Some of the information presented herein is based on statements by third parties.,neutral,0.02425209,0.035452403,0.9402956
"No representation or warranty, express or implied, is made as to, and no reliance should be placed on, the fairness, accuracy, completeness or correctness of this information or any other information or opinions contained herein, for any purpose whatsoever.",neutral,0.026015416,0.040115435,0.93386906
This presentation may contain forward-looking statements based on current assumptions and forecasts made by E.ON management and other information currently available to E.ON.,neutral,0.02524548,0.02277608,0.9519784
"Various known and unknown risks, uncertainties and other factors could lead to material differences between the actual future results, financial situation, development or performance of the company and the estimates given here.",negative,0.026391806,0.51599574,0.45761243
"E.ON does not intend, and does not assume any liability whatsoever, to update these forward-looking statements or to conform them to future events or developments.",neutral,0.024189267,0.024670716,0.95114005
Neither E.ON nor any respective agents of E.ON undertake any obligation to provide the recipient with access to any additional information or to update this presentation or any information or to correct any inaccuracies in any such information.,neutral,0.023919957,0.035532683,0.94054735
"Certain numerical data, financial information and market data (including percentages) in this presentation have been rounded according to established commercial standards.",neutral,0.04556184,0.018677238,0.9357609
"As a result, the aggregate amounts (sum totals or interim totals or differences or if numbers are put in relation) in this presentation may not correspond in all cases to the amounts contained in the underlying (unrounded) figures appearing in the consolidated financial statements.",neutral,0.016432106,0.06787754,0.9156903
"Furthermore, in tables and charts, these rounded figures may not add up exactly to the totals contained in the respective tables and charts.",neutral,0.022234846,0.061594434,0.9161708
Full year 2025 results | 42it’s on us,neutral,0.0343538,0.059914947,0.9057313
